ISSN,Full Title,SCI/SCIE,Impact Factor,Rank,Category
1471-4914,TRENDS IN MOLECULAR MEDICINE,SCI,9.292,17,CELL BIOLOGY
1943-0264,COLD SPRING HARBOR PERSPECTIVES IN BIOLOGY,SCIE,9.173,18,CELL BIOLOGY
1554-8627,AUTOPHAGY,SCIE,9.108,19,CELL BIOLOGY
0960-9822,CURRENT BIOLOGY,SCI,8.983,20,CELL BIOLOGY
0955-0674,CURRENT OPINION IN CELL BIOLOGY,SCI,8.851,21,CELL BIOLOGY
0021-9525,JOURNAL OF CELL BIOLOGY,SCI,8.717,22,CELL BIOLOGY
1040-4651,PLANT CELL,SCI,8.538,23,CELL BIOLOGY
1350-9047,CELL DEATH AND DIFFERENTIATION,SCI,8.218,24,CELL BIOLOGY
0950-9232,ONCOGENE,SCI,7.932,25,CELL BIOLOGY
2211-1247,CELL REPORTS,SCIE,7.870,26,CELL BIOLOGY
1469-221X,EMBO REPORTS,SCI,7.739,27,CELL BIOLOGY
1568-1637,AGEING RESEARCH REVIEWS,SCIE,7.526,28,CELL BIOLOGY
1945-0877,SCIENCE SIGNALING,SCIE,7.359,29,CELL BIOLOGY
2213-6711,STEM CELL REPORTS,SCIE,7.023,30,CELL BIOLOGY
0959-440X,CURRENT OPINION IN STRUCTURAL BIOLOGY,SCI,6.713,31,CELL BIOLOGY
1359-6101,CYTOKINE & GROWTH FACTOR REVIEWS,SCI,6.571,32,CELL BIOLOGY
1674-2788,JOURNAL OF MOLECULAR CELL BIOLOGY,SCIE,6.459,33,CELL BIOLOGY
1066-5099,STEM CELLS,SCI,5.902,34,CELL BIOLOGY
0959-437X,CURRENT OPINION IN GENETICS & DEVELOPMENT,SCI,5.784,35,CELL BIOLOGY
1474-9718,AGING CELL,SCIE,5.760,36,CELL BIOLOGY
1420-682X,CELLULAR AND MOLECULAR LIFE SCIENCES,SCI,5.694,37,CELL BIOLOGY
2041-4889,CELL DEATH & DISEASE,SCIE,5.378,38,CELL BIOLOGY
0892-6638,FASEB JOURNAL,SCI,5.299,39,CELL BIOLOGY
0969-2126,STRUCTURE,SCI,5.237,40,CELL BIOLOGY
1084-9521,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SCI,5.181,41,CELL BIOLOGY
0167-4889,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,SCI,5.128,42,CELL BIOLOGY
1949-2553,ONCOTARGET,SCIE,5.008,43,CELL BIOLOGY
1582-4934,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,SCIE,4.938,44,CELL BIOLOGY
0022-2828,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,SCI,4.874,45,CELL BIOLOGY
1388-1981,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,SCI,4.779,46,CELL BIOLOGY
1932-6254,JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE MEDICINE,SCIE,4.710,47,CELL BIOLOGY
0021-9533,JOURNAL OF CELL SCIENCE,SCI,4.706,48,CELL BIOLOGY
1015-8987,CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,SCI,4.652,49,CELL BIOLOGY
1757-7004,WILEY INTERDISCIPLINARY REVIEWS-RNA,SCIE,4.519,50,CELL BIOLOGY
1541-7786,MOLECULAR CANCER RESEARCH,SCI,4.510,51,CELL BIOLOGY
1757-6512,STEM CELL RESEARCH & THERAPY,SCIE,4.504,52,CELL BIOLOGY
1942-0900,OXIDATIVE MEDICINE AND CELLULAR LONGEVITY,SCIE,4.492,53,CELL BIOLOGY
0818-9641,IMMUNOLOGY AND CELL BIOLOGY,SCI,4.473,54,CELL BIOLOGY
0945-053X,MATRIX BIOLOGY,SCI,4.470,55,CELL BIOLOGY
1462-5814,CELLULAR MICROBIOLOGY,SCI,4.460,56,CELL BIOLOGY
0270-7306,MOLECULAR AND CELLULAR BIOLOGY,SCI,4.427,57,CELL BIOLOGY
0032-0781,PLANT AND CELL PHYSIOLOGY,SCI,4.319,58,CELL BIOLOGY
1754-8403,DISEASE MODELS & MECHANISMS,SCIE,4.316,59,CELL BIOLOGY
0898-6568,CELLULAR SIGNALLING,SCI,4.191,60,CELL BIOLOGY
0741-5400,JOURNAL OF LEUKOCYTE BIOLOGY,SCI,4.165,61,CELL BIOLOGY
1755-1471,PIGMENT CELL & MELANOMA RESEARCH,SCI,4.163,62,CELL BIOLOGY
0021-9541,JOURNAL OF CELLULAR PHYSIOLOGY,SCI,4.155,63,CELL BIOLOGY
1044-1549,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,SCI,4.082,64,CELL BIOLOGY
1059-1524,MOLECULAR BIOLOGY OF THE CELL,SCI,4.037,65,CELL BIOLOGY
0171-9335,EUROPEAN JOURNAL OF CELL BIOLOGY,SCI,4.011,66,CELL BIOLOGY
1945-4589,AGING-US,SCIE,3.979,67,CELL BIOLOGY
1538-4101,CELL CYCLE,SCIE,3.952,68,CELL BIOLOGY
1357-2725,INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,SCI,3.905,69,CELL BIOLOGY
1873-5061,STEM CELL RESEARCH,SCIE,3.892,70,CELL BIOLOGY
2152-4947,TISSUE ENGINEERING,,3.892,70,CELL BIOLOGY
0303-7207,MOLECULAR AND CELLULAR ENDOCRINOLOGY,SCI,3.859,72,CELL BIOLOGY
1674-800X,PROTEIN & CELL,SCIE,3.817,73,CELL BIOLOGY
1089-8603,NITRIC OXIDE-BIOLOGY AND CHEMISTRY,SCI,3.760,74,CELL BIOLOGY
1937-6448,INTERNATIONAL REVIEW OF CELL AND MOLECULAR BIOLOGY,SCI,3.752,75,CELL BIOLOGY
1398-9219,TRAFFIC,SCIE,3.721,76,CELL BIOLOGY
1478-811X,CELL COMMUNICATION AND SIGNALING,SCIE,3.661,77,CELL BIOLOGY
1567-7249,MITOCHONDRION,SCIE,3.647,78,CELL BIOLOGY
1465-3249,CYTOTHERAPY,SCIE,3.625,79,CELL BIOLOGY
1360-8185,APOPTOSIS,SCI,3.592,80,CELL BIOLOGY
0079-6336,PROGRESS IN HISTOCHEMISTRY AND CYTOCHEMISTRY,SCIE,3.571,81,CELL BIOLOGY
2211-3428,CELLULAR ONCOLOGY,SCI,3.562,82,CELL BIOLOGY
1076-1551,MOLECULAR MEDICINE,SCI,3.530,83,CELL BIOLOGY
0014-5793,FEBS LETTERS,SCI,3.519,84,CELL BIOLOGY
2044-5040,SKELETAL MUSCLE,SCIE,3.500,85,CELL BIOLOGY
0730-2312,JOURNAL OF CELLULAR BIOCHEMISTRY,SCI,3.446,86,CELL BIOLOGY
0309-0167,HISTOPATHOLOGY,SCI,3.425,87,CELL BIOLOGY
0962-9351,MEDIATORS OF INFLAMMATION,SCI,3.418,88,CELL BIOLOGY
0363-6143,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,SCI,3.395,89,CELL BIOLOGY
0014-4827,EXPERIMENTAL CELL RESEARCH,SCI,3.378,90,CELL BIOLOGY
1757-9694,INTEGRATIVE BIOLOGY,SCIE,3.371,91,CELL BIOLOGY
1933-6918,CELL ADHESION & MIGRATION,SCIE,3.306,92,CELL BIOLOGY
0953-7104,PLATELETS,SCI,3.213,93,CELL BIOLOGY
1552-4922,CYTOMETRY PART A,SCI,3.181,94,CELL BIOLOGY
0952-3278,PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,SCI,3.155,95,CELL BIOLOGY
1873-9601,JOURNAL OF CELL COMMUNICATION AND SIGNALING,SCIE,3.123,96,CELL BIOLOGY
1550-8943,STEM CELL REVIEWS AND REPORTS,SCIE,3.111,97,CELL BIOLOGY
0960-7722,CELL PROLIFERATION,SCI,3.084,98,CELL BIOLOGY
0302-766X,CELL AND TISSUE RESEARCH,SCI,2.948,99,CELL BIOLOGY
1043-4666,CYTOKINE,SCI,2.940,100,CELL BIOLOGY
1021-7770,JOURNAL OF BIOMEDICAL SCIENCE,SCI,2.935,101,CELL BIOLOGY
0143-4160,CELL CALCIUM,SCI,2.909,102,CELL BIOLOGY
1098-8823,PROSTAGLANDINS & OTHER LIPID MEDIATORS,SCIE,2.905,103,CELL BIOLOGY
0047-6374,MECHANISMS OF AGEING AND DEVELOPMENT,SCI,2.892,104,CELL BIOLOGY
0742-2091,CELL BIOLOGY AND TOXICOLOGY,SCI,2.842,105,CELL BIOLOGY
0948-6143,HISTOCHEMISTRY AND CELL BIOLOGY,SCI,2.780,106,CELL BIOLOGY
1016-8478,MOLECULES AND CELLS,SCI,2.670,107,CELL BIOLOGY
1521-6543,IUBMB LIFE,SCI,2.653,108,CELL BIOLOGY
1574-888X,CURRENT STEM CELL RESEARCH & THERAPY,SCIE,2.645,109,CELL BIOLOGY
1067-1927,WOUND REPAIR AND REGENERATION,SCI,2.628,110,CELL BIOLOGY
0360-3997,INFLAMMATION,SCI,2.618,111,CELL BIOLOGY
1094-8341,PHYSIOLOGICAL GENOMICS,SCI,2.615,112,CELL BIOLOGY
0300-8177,MOLECULAR AND CELLULAR BIOCHEMISTRY,SCI,2.613,113,CELL BIOLOGY
1471-2121,BMC CELL BIOLOGY,SCIE,2.584,114,CELL BIOLOGY
1355-8145,CELL STRESS & CHAPERONES,SCIE,2.583,115,CELL BIOLOGY
1044-5498,DNA AND CELL BIOLOGY,SCI,2.574,116,CELL BIOLOGY
1047-8477,JOURNAL OF STRUCTURAL BIOLOGY,SCI,2.570,117,CELL BIOLOGY
1148-5493,EUROPEAN CYTOKINE NETWORK,SCI,2.562,118,CELL BIOLOGY
1023-3830,INFLAMMATION RESEARCH,SCI,2.557,119,CELL BIOLOGY
0248-4900,BIOLOGY OF THE CELL,SCI,2.552,120,CELL BIOLOGY
0949-944X,DEVELOPMENT GENES AND EVOLUTION,SCI,2.508,121,CELL BIOLOGY
1093-9946,FRONTIERS IN BIOSCIENCE-LANDMARK,SCIE,2.484,122,CELL BIOLOGY
1356-9597,GENES TO CELLS,SCI,2.481,123,CELL BIOLOGY
0301-4681,DIFFERENTIATION,SCI,2.461,124,CELL BIOLOGY
0144-8463,BIOSCIENCE REPORTS,SCI,2.446,125,CELL BIOLOGY
1949-1034,NUCLEUS,SCIE,2.446,125,CELL BIOLOGY
1121-760X,EUROPEAN JOURNAL OF HISTOCHEMISTRY,SCI,2.421,127,CELL BIOLOGY
0012-1592,DEVELOPMENT GROWTH & DIFFERENTIATION,SCI,2.412,128,CELL BIOLOGY
0008-8749,CELLULAR IMMUNOLOGY,SCI,2.399,129,CELL BIOLOGY
0033-183X,PROTOPLASMA,SCI,2.343,130,CELL BIOLOGY
0272-4340,CELLULAR AND MOLECULAR NEUROBIOLOGY,SCI,2.328,131,CELL BIOLOGY
1949-3584,CYTOSKELETON,SCI,2.316,132,CELL BIOLOGY
1747-1028,CELL DIVISION,SCIE,2.278,133,CELL BIOLOGY
1567-2379,JOURNAL OF MOLECULAR HISTOLOGY,SCI,2.221,134,CELL BIOLOGY
1040-452X,MOLECULAR REPRODUCTION AND DEVELOPMENT,SCI,2.141,135,CELL BIOLOGY
1079-9907,JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,SCI,2.135,136,CELL BIOLOGY
0145-479X,JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,SCI,2.080,137,CELL BIOLOGY
0142-4319,JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY,SCI,2.071,138,CELL BIOLOGY
0001-2815,TISSUE ANTIGENS,,2.046,139,CELL BIOLOGY
0897-7194,GROWTH FACTORS,SCI,2.043,140,CELL BIOLOGY
0263-6484,CELL BIOCHEMISTRY AND FUNCTION,SCI,2.016,141,CELL BIOLOGY
0022-2631,JOURNAL OF MEMBRANE BIOLOGY,SCI,1.991,142,CELL BIOLOGY
0968-7688,MOLECULAR MEMBRANE BIOLOGY,SCI,1.983,143,CELL BIOLOGY
0386-7196,CELL STRUCTURE AND FUNCTION,SCI,1.969,144,CELL BIOLOGY
1541-9061,CELL COMMUNICATION AND ADHESION,SCI,1.955,145,CELL BIOLOGY
0022-1554,JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY,SCI,1.953,146,CELL BIOLOGY
1749-0774,HUMAN CELL,SCIE,1.907,147,CELL BIOLOGY
0213-3911,HISTOLOGY AND HISTOPATHOLOGY,SCI,1.875,148,CELL BIOLOGY
0920-9069,CYTOTECHNOLOGY,SCIE,1.864,149,CELL BIOLOGY
1947-5535,BIOPRESERVATION AND BIOBANKING,SCIE,1.804,150,CELL BIOLOGY
1079-9893,JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION,SCI,1.782,151,CELL BIOLOGY
2075-8251,ACTA NATURAE,SCIE,1.770,152,CELL BIOLOGY
0956-5507,CYTOPATHOLOGY,SCI,1.761,153,CELL BIOLOGY
1425-8153,CELLULAR & MOLECULAR BIOLOGY LETTERS,SCIE,1.753,154,CELL BIOLOGY
1015-2008,PATHOBIOLOGY,SCI,1.732,155,CELL BIOLOGY
1065-6995,CELL BIOLOGY INTERNATIONAL,SCIE,1.663,156,CELL BIOLOGY
1424-8581,CYTOGENETIC AND GENOME RESEARCH,SCI,1.638,157,CELL BIOLOGY
1085-9195,CELL BIOCHEMISTRY AND BIOPHYSICS,SCIE,1.627,158,CELL BIOLOGY
1424-862X,NEUROSIGNALS,,1.593,159,CELL BIOLOGY
1865-5025,CELLULAR AND MOLECULAR BIOENGINEERING,SCIE,1.589,160,CELL BIOLOGY
0890-8508,MOLECULAR AND CELLULAR PROBES,SCI,1.565,161,CELL BIOLOGY
0829-8211,BIOCHEMISTRY AND CELL BIOLOGY,SCI,1.527,162,CELL BIOLOGY
1096-6374,GROWTH HORMONE & IGF RESEARCH,SCI,1.448,163,CELL BIOLOGY
0300-8207,CONNECTIVE TISSUE RESEARCH,SCI,1.411,164,CELL BIOLOGY
0967-1994,ZYGOTE,SCIE,1.370,165,CELL BIOLOGY
0065-1281,ACTA HISTOCHEMICA,SCI,1.347,166,CELL BIOLOGY
2228-5806,CELL JOURNAL,SCIE,1.275,167,CELL BIOLOGY
0040-8166,TISSUE & CELL,SCI,1.258,168,CELL BIOLOGY
1389-9333,CELL AND TISSUE BANKING,SCIE,1.248,169,CELL BIOLOGY
1422-6405,CELLS TISSUES ORGANS,SCI,1.228,170,CELL BIOLOGY
1054-5476,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,SCI,1.152,171,CELL BIOLOGY
0091-679X,METHODS IN CELL BIOLOGY,SCI,1.097,172,CELL BIOLOGY
1052-0295,BIOTECHNIC & HISTOCHEMISTRY,SCI,1.078,173,CELL BIOLOGY
0239-8508,FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,SCIE,1.060,174,CELL BIOLOGY
0301-5556,ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY,SCI,1.000,175,CELL BIOLOGY
1071-2690,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-ANIMAL,SCI,0.971,176,CELL BIOLOGY
1673-5374,NEURAL REGENERATION RESEARCH,SCIE,0.968,177,CELL BIOLOGY
1556-5297,MOLECULAR & CELLULAR BIOMECHANICS,SCIE,0.962,178,CELL BIOLOGY
0884-6812,ANALYTICAL AND QUANTITATIVE CYTOPATHOLOGY AND HISTOPATHOLOGY,SCI,0.918,179,CELL BIOLOGY
0044-5991,ACTA HISTOCHEMICA ET CYTOCHEMICA,SCI,0.912,180,CELL BIOLOGY
1751-8849,IET SYSTEMS BIOLOGY,SCIE,0.764,181,CELL BIOLOGY
0145-5680,CELLULAR AND MOLECULAR BIOLOGY,SCI,0.605,182,CELL BIOLOGY
1976-8354,ANIMAL CELLS AND SYSTEMS,SCIE,0.481,183,CELL BIOLOGY
2210-7177,ANALYTICAL CELLULAR PATHOLOGY,SCI,0.459,184,CELL BIOLOGY
0011-4545,CYTOLOGIA,SCIE,0.227,185,CELL BIOLOGY
0147-8885,JOURNAL OF HISTOTECHNOLOGY,SCI,0.086,186,CELL BIOLOGY
0233-4755,BIOLOGICHESKIE MEMBRANY,SCIE,0.081,187,CELL BIOLOGY
1936-1327,ANNUAL REVIEW OF ANALYTICAL CHEMISTRY,SCI,8.000,1,"CHEMISTRY, ANALYTICAL"
0165-9936,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,SCI,7.487,2,"CHEMISTRY, ANALYTICAL"
0956-5663,BIOSENSORS & BIOELECTRONICS,SCI,7.476,3,"CHEMISTRY, ANALYTICAL"
0003-2700,ANALYTICAL CHEMISTRY,SCI,5.886,4,"CHEMISTRY, ANALYTICAL"
1542-2119,SEPARATION AND PURIFICATION REVIEWS,SCI,5.824,5,"CHEMISTRY, ANALYTICAL"
0026-3672,MICROCHIMICA ACTA,SCI,4.831,6,"CHEMISTRY, ANALYTICAL"
0925-4005,SENSORS AND ACTUATORS B-CHEMICAL,SCI,4.758,7,"CHEMISTRY, ANALYTICAL"
0003-2670,ANALYTICA CHIMICA ACTA,SCI,4.712,8,"CHEMISTRY, ANALYTICAL"
0039-9140,TALANTA,SCI,4.035,9,"CHEMISTRY, ANALYTICAL"
0003-2654,ANALYST,SCI,4.033,10,"CHEMISTRY, ANALYTICAL"
0021-9673,JOURNAL OF CHROMATOGRAPHY A,SCI,3.926,11,"CHEMISTRY, ANALYTICAL"
0165-2370,JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,SCI,3.652,12,"CHEMISTRY, ANALYTICAL"
0267-9477,JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,SCI,3.379,13,"CHEMISTRY, ANALYTICAL"
0731-7085,JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,SCI,3.169,14,"CHEMISTRY, ANALYTICAL"
1618-2642,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,SCI,3.125,15,"CHEMISTRY, ANALYTICAL"
1044-0305,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,SCI,3.031,16,"CHEMISTRY, ANALYTICAL"
0026-265X,MICROCHEMICAL JOURNAL,SCI,2.893,17,"CHEMISTRY, ANALYTICAL"
1942-7603,DRUG TESTING AND ANALYSIS,SCIE,2.859,18,"CHEMISTRY, ANALYTICAL"
1572-6657,JOURNAL OF ELECTROANALYTICAL CHEMISTRY,SCI,2.822,19,"CHEMISTRY, ANALYTICAL"
1757-6180,BIOANALYSIS,SCIE,2.813,20,"CHEMISTRY, ANALYTICAL"
1615-9306,JOURNAL OF SEPARATION SCIENCE,SCI,2.741,21,"CHEMISTRY, ANALYTICAL"
1570-0232,JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,SCI,2.687,22,"CHEMISTRY, ANALYTICAL"
1040-8347,CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY,SCI,2.667,23,"CHEMISTRY, ANALYTICAL"
1076-5174,JOURNAL OF MASS SPECTROMETRY,SCI,2.541,24,"CHEMISTRY, ANALYTICAL"
0958-0344,PHYTOCHEMICAL ANALYSIS,SCI,2.497,25,"CHEMISTRY, ANALYTICAL"
0173-0835,ELECTROPHORESIS,SCI,2.482,26,"CHEMISTRY, ANALYTICAL"
1040-0397,ELECTROANALYSIS,SCI,2.471,27,"CHEMISTRY, ANALYTICAL"
1448-2517,ENVIRONMENTAL CHEMISTRY,SCIE,2.455,28,"CHEMISTRY, ANALYTICAL"
2050-6120,METHODS AND APPLICATIONS IN FLUORESCENCE,SCIE,2.429,29,"CHEMISTRY, ANALYTICAL"
2050-7887,ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,SCI,2.401,30,"CHEMISTRY, ANALYTICAL"
0146-4760,JOURNAL OF ANALYTICAL TOXICOLOGY,SCI,2.322,31,"CHEMISTRY, ANALYTICAL"
0003-2697,ANALYTICAL BIOCHEMISTRY,SCI,2.243,32,"CHEMISTRY, ANALYTICAL"
0951-4198,RAPID COMMUNICATIONS IN MASS SPECTROMETRY,SCI,2.226,33,"CHEMISTRY, ANALYTICAL"
1087-0571,JOURNAL OF BIOMOLECULAR SCREENING,SCIE,2.218,34,"CHEMISTRY, ANALYTICAL"
0169-7439,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,SCI,2.217,35,"CHEMISTRY, ANALYTICAL"
1424-8220,SENSORS,SCIE,2.033,36,"CHEMISTRY, ANALYTICAL"
0899-0042,CHIRALITY,SCI,2.025,37,"CHEMISTRY, ANALYTICAL"
1075-2617,JOURNAL OF PEPTIDE SCIENCE,SCI,1.951,38,"CHEMISTRY, ANALYTICAL"
0040-6031,THERMOCHIMICA ACTA,SCI,1.938,39,"CHEMISTRY, ANALYTICAL"
1759-9660,ANALYTICAL METHODS,SCIE,1.915,40,"CHEMISTRY, ANALYTICAL"
0886-9383,JOURNAL OF CHEMOMETRICS,SCI,1.873,41,"CHEMISTRY, ANALYTICAL"
1388-6150,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,SCI,1.781,42,"CHEMISTRY, ANALYTICAL"
0269-3879,BIOMEDICAL CHROMATOGRAPHY,SCI,1.729,43,"CHEMISTRY, ANALYTICAL"
0924-2031,VIBRATIONAL SPECTROSCOPY,SCI,1.682,44,"CHEMISTRY, ANALYTICAL"
1053-0509,JOURNAL OF FLUORESCENCE,SCI,1.601,45,"CHEMISTRY, ANALYTICAL"
1296-2074,JOURNAL OF CULTURAL HERITAGE,SCIE,1.533,46,"CHEMISTRY, ANALYTICAL"
0362-4803,JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,SCI,1.532,47,"CHEMISTRY, ANALYTICAL"
0306-7319,INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,SCI,1.411,48,"CHEMISTRY, ANALYTICAL"
0793-0135,REVIEWS IN ANALYTICAL CHEMISTRY,SCIE,1.378,49,"CHEMISTRY, ANALYTICAL"
2090-8865,JOURNAL OF ANALYTICAL METHODS IN CHEMISTRY,SCI,1.369,50,"CHEMISTRY, ANALYTICAL"
0003-813X,ARCHAEOMETRY,SCIE,1.364,51,"CHEMISTRY, ANALYTICAL"
0009-5893,CHROMATOGRAPHIA,SCI,1.332,52,"CHEMISTRY, ANALYTICAL"
0021-9665,JOURNAL OF CHROMATOGRAPHIC SCIENCE,SCI,1.320,53,"CHEMISTRY, ANALYTICAL"
2211-0682,JALA,SCIE,1.297,54,"CHEMISTRY, ANALYTICAL"
1573-4110,CURRENT ANALYTICAL CHEMISTRY,SCIE,1.238,55,"CHEMISTRY, ANALYTICAL"
0910-6340,ANALYTICAL SCIENCES,SCI,1.174,56,"CHEMISTRY, ANALYTICAL"
0003-2719,ANALYTICAL LETTERS,SCI,1.088,57,"CHEMISTRY, ANALYTICAL"
0949-1775,ACCREDITATION AND QUALITY ASSURANCE,SCIE,1.010,58,"CHEMISTRY, ANALYTICAL"
0236-5731,JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,SCI,0.983,59,"CHEMISTRY, ANALYTICAL"
1060-3271,JOURNAL OF AOAC INTERNATIONAL,SCI,0.918,60,"CHEMISTRY, ANALYTICAL"
0065-2415,ADVANCES IN CHROMATOGRAPHY,SCI,0.833,61,"CHEMISTRY, ANALYTICAL"
1687-8760,INTERNATIONAL JOURNAL OF ANALYTICAL CHEMISTRY,SCIE,0.719,62,"CHEMISTRY, ANALYTICAL"
1061-9348,JOURNAL OF ANALYTICAL CHEMISTRY,SCI,0.694,63,"CHEMISTRY, ANALYTICAL"
1082-6076,JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,SCI,0.669,64,"CHEMISTRY, ANALYTICAL"
0933-4173,JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC,SCI,0.611,65,"CHEMISTRY, ANALYTICAL"
0253-3820,CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,SCIE,0.554,66,"CHEMISTRY, ANALYTICAL"
1233-2356,ACTA CHROMATOGRAPHICA,SCIE,0.550,67,"CHEMISTRY, ANALYTICAL"
0010-3624,COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,SCI,0.529,68,"CHEMISTRY, ANALYTICAL"
1073-9149,INSTRUMENTATION SCIENCE & TECHNOLOGY,SCI,0.525,69,"CHEMISTRY, ANALYTICAL"
1471-6577,LC GC EUROPE,SCIE,0.481,70,"CHEMISTRY, ANALYTICAL"
0039-3630,STUDIES IN CONSERVATION,SCIE,0.323,71,"CHEMISTRY, ANALYTICAL"
1063-455X,JOURNAL OF WATER CHEMISTRY AND TECHNOLOGY,SCIE,0.258,72,"CHEMISTRY, ANALYTICAL"
0525-1931,BUNSEKI KAGAKU,SCI,0.229,73,"CHEMISTRY, ANALYTICAL"
1960-1360,ARCHEOSCIENCES-REVUE D ARCHEOMETRIE,SCIE,0.111,74,"CHEMISTRY, ANALYTICAL"
0044-7749,AMERICAN LABORATORY,SCI,0.028,75,"CHEMISTRY, ANALYTICAL"
1615-4150,ADVANCED SYNTHESIS & CATALYSIS,SCI,6.453,1,"CHEMISTRY, APPLIED"
1542-2119,SEPARATION AND PURIFICATION REVIEWS,SCI,5.824,2,"CHEMISTRY, APPLIED"
1947-5438,ANNUAL REVIEW OF CHEMICAL AND BIOMOLECULAR ENGINEERING,SCI,5.211,3,"CHEMISTRY, APPLIED"
0920-5861,CATALYSIS TODAY,SCI,4.312,4,"CHEMISTRY, APPLIED"
0144-8617,CARBOHYDRATE POLYMERS,SCI,4.219,5,"CHEMISTRY, APPLIED"
0143-7208,DYES AND PIGMENTS,SCI,4.055,6,"CHEMISTRY, APPLIED"
0308-8146,FOOD CHEMISTRY,SCI,4.052,7,"CHEMISTRY, APPLIED"
0268-005X,FOOD HYDROCOLLOIDS,SCI,3.858,8,"CHEMISTRY, APPLIED"
0378-3820,FUEL PROCESSING TECHNOLOGY,SCI,3.847,9,"CHEMISTRY, APPLIED"
1387-1811,MICROPOROUS AND MESOPOROUS MATERIALS,SCI,3.349,10,"CHEMISTRY, APPLIED"
2156-8952,ACS COMBINATORIAL SCIENCE,SCIE,3.317,11,"CHEMISTRY, APPLIED"
0141-8130,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,SCI,3.138,12,"CHEMISTRY, APPLIED"
1083-6160,ORGANIC PROCESS RESEARCH & DEVELOPMENT,SCIE,2.922,13,"CHEMISTRY, APPLIED"
0021-8561,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,SCI,2.857,14,"CHEMISTRY, APPLIED"
0889-1575,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,SCIE,2.780,15,"CHEMISTRY, APPLIED"
1381-5148,REACTIVE & FUNCTIONAL POLYMERS,SCI,2.725,16,"CHEMISTRY, APPLIED"
0300-9440,PROGRESS IN ORGANIC COATINGS,SCI,2.632,17,"CHEMISTRY, APPLIED"
0253-9837,CHINESE JOURNAL OF CATALYSIS,SCIE,2.628,18,"CHEMISTRY, APPLIED"
0268-2605,APPLIED ORGANOMETALLIC CHEMISTRY,SCI,2.452,19,"CHEMISTRY, APPLIED"
1022-5528,TOPICS IN CATALYSIS,SCIE,2.355,20,"CHEMISTRY, APPLIED"
2095-4956,JOURNAL OF ENERGY CHEMISTRY,SCIE,2.322,21,"CHEMISTRY, APPLIED"
0921-9668,PLANT FOODS FOR HUMAN NUTRITION,SCIE,2.276,22,"CHEMISTRY, APPLIED"
1002-0721,JOURNAL OF RARE EARTHS,SCIE,2.188,23,"CHEMISTRY, APPLIED"
1381-1991,MOLECULAR DIVERSITY,SCIE,2.080,24,"CHEMISTRY, APPLIED"
